"word"
"coito"
"forçado"
"violação"
""
"tipo"
"agressão"
"sexual"
"geralmente"
"envolvendo"
"relação"
"sexual"
"outras"
"formas"
"atos"
"libidinosos"
"realizado"
"pessoa"
"consentimento"
"ato"
"pode"
"realizado"
"força"
"física"
"coerção"
"abuso"
"autoridade"
"pessoa"
"incapaz"
"oferecer"
"consentimento"
"válido"
"tal"
"inconsciente"
"incapacitado"
"deficiência"
"mental"
"abaixo"
"idade"
"consentimento"
""
""
""
"termo"
"usado"
"vezes"
"indistintamente"
"termo"
"agressão"
"sexual"
""
"taxa"
"denúncia"
"processo"
"condenação"
"varia"
"jurisdições"
"internacionalmente"
"incidência"
"estupros"
"registrados"
"polícia"
""
"variou"
""
""
"pessoas"
""
""
"azerbaijão"
""
""
"botsuana"
""
""
"lituânia"
"média"
""
"estranhos"
"geralmente"
"menos"
"comum"
"pessoas"
"vítima"
"conhece"
"carcerário"
"homem"
"homem"
"mulher"
"mulher"
"comuns"
"podem"
"formas"
"menos"
"relatadas"
""
""
""
"pessoas"
"estupradas"
"podem"
"trauma"
"psicológico"
"desenvolver"
"transtorno"
"estresse"
"pós"
"traumático"
""
"lesões"
"graves"
"podem"
"resultar"
"juntamente"
"risco"
"gravidez"
"doenças"
"sexualmente"
"transmissíveis"
"pessoa"
"pode"
"enfrentar"
"violência"
"ameaças"
"estuprador"
"algumas"
"culturas"
"família"
"parentes"
"vítima"
""
""
""
"procede"
"termo"
"latino"
"stuprum"
""
"ver"
"stuprum"
"ainda"
"stupure"
"significando"
"estupefato"
"ficar"
"imóvel"
"ficar"
"atônito"
""
"violação"
"procede"
"termo"
"latino"
"violatione"
""
"ainda"
"violare"
"estragar"
"danificar"
"devastar"
"profanar"
""
"definido"
"maioria"
"jurisdições"
"relação"
"sexual"
"outras"
"formas"
"penetração"
"iniciadas"
"perpetrador"
"vítima"
"consentimento"
""
"definição"
"inconsistente"
"organizações"
"governamentais"
"saúde"
"aplicação"
"lei"
"profissionais"
"saúde"
"profissões"
"jurídicas"
""
"item"
"variado"
"historica"
"culturalmente"
""
""
"originalmente"
"conotação"
"sexual"
"ainda"
"usado"
"outros"
"contextos"
"idioma"
"inglês"
"lei"
"romana"
"raptus"
"classificado"
"forma"
"crimen"
"vis"
"crime"
"assalto"
""
""
